Index,Stock Value,Weighted Average,Sigma,Portfolio Value
646,103.02,101.459,2.50695,97.2657
647,103.66,101.525,2.50642,97.8699
648,105.17,101.635,2.50833,99.2956
649,105.21,101.742,2.51008,99.3333
650,104.57,101.827,2.51046,98.7291
651,105.035,101.923,2.51149,99.1681
652,105.03,102.016,2.51234,99.1634
653,105.16,102.111,2.51325,99.2861
654,104.46,102.181,2.51291,98.6252
655,104.174,102.241,2.51212,98.3556
656,104.55,102.31,2.51173,98.7102
657,104.365,102.372,2.51103,98.5355
658,104.24,102.428,2.51011,98.4175
659,103.98,102.474,2.50889,98.172
660,103.765,102.513,2.50747,97.9691
661,102.18,102.503,2.50561,96.4726
662,100.885,102.455,2.50446,95.2499
663,100.87,102.407,2.50328,95.2358
664,101.04,102.366,2.50193,95.3963
665,100.35,102.306,2.5012,94.7448
666,100.38,102.248,2.50037,94.7731
667,100.435,102.193,2.49942,94.8251
668,99.78,102.121,2.49919,94.2066
669,99.36,102.038,2.49947,93.8101
670,99.86,101.973,2.49894,94.2822
671,99.15,101.888,2.49931,93.6118
672,98.86,101.797,2.50002,93.338
673,98.3,101.692,2.50158,92.8093
674,98.065,101.584,2.50339,92.5874
675,99,101.506,2.50339,93.4702
676,100.435,101.474,2.50186,94.8251
677,100.69,101.45,2.50019,95.0658
678,100.525,101.423,2.49858,94.91
679,100.86,101.406,2.49683,95.2263
680,101.5,101.409,2.495,95.8306
681,101.875,101.423,2.49323,96.1846
682,101.4,101.422,2.49141,95.7362
683,102.45,101.453,2.48988,96.7275
684,101.99,101.469,2.48814,96.2932
685,101.92,101.482,2.48638,96.2271
686,102.02,101.499,2.48465,96.3215
687,102.28,101.522,2.48301,96.567
688,102.89,101.563,2.48172,97.1429
689,102.55,101.593,2.48019,96.8219
690,101.39,101.587,2.47841,95.7267
691,100.71,101.56,2.47683,95.0847
692,100.455,101.527,2.47537,94.8439
693,100.392,101.493,2.47394,94.7841
694,100.41,101.461,2.47248,94.8015
695,100.48,101.431,2.47097,94.8675
696,102.05,101.45,2.4693,96.3498
697,103.19,101.502,2.46836,97.4262
698,104.01,101.577,2.46831,98.2004
699,104.05,101.651,2.46821,98.2381
700,105.07,101.754,2.46963,99.2012
